route,ticket_type,origin_stop,destination_stop,quantity
414,Paper,1234,n/a,1
414,Paper,1798,n/a,2
414,Paper,1832,n/a,1
414,go card,1233,10497,1
414,go card,1233,1754,1
414,go card,1233,2004,7
414,go card,1234,10497,5
414,go card,1234,1233,2
414,go card,1234,1753,2
414,go card,1234,1754,3
414,go card,1234,1829,1
414,go card,1234,1831,1
414,go card,1234,2004,18
414,go card,1236,10245,2
414,go card,1236,1233,1
414,go card,1236,1234,1
414,go card,1236,1753,5
414,go card,1236,1754,1
414,go card,1236,1832,1
414,go card,1236,1868,1
414,go card,1725,10497,1
414,go card,1725,2004,1
414,go card,1727,2004,1
414,go card,1728,10497,1
414,go card,1728,2004,6
414,go card,1741,2004,2
414,go card,1753,10497,1
414,go card,1753,1754,1
414,go card,1753,2004,1
414,go card,1753,4771,1
414,go card,1754,10497,1
414,go card,1754,1731,1
414,go card,1754,1759,1
414,go card,1754,1761,2
414,go card,1754,2004,6
414,go card,1754,4770,2
414,go card,1754,4771,1
414,go card,1757,4771,1
414,go card,1759,1741,1
414,go card,1761,10497,3
414,go card,1761,1741,1
414,go card,1761,2004,7
414,go card,1798,10245,50
414,go card,1798,10497,17
414,go card,1798,1233,120
414,go card,1798,1234,86
414,go card,1798,1236,4
414,go card,1798,1725,77
414,go card,1798,1727,54
414,go card,1798,1728,64
414,go card,1798,1731,50
414,go card,1798,1741,14
414,go card,1798,1753,202
414,go card,1798,1754,198
414,go card,1798,1757,22
414,go card,1798,1759,38
414,go card,1798,1761,88
414,go card,1798,1798,8
414,go card,1798,1807,1
414,go card,1798,1829,58
414,go card,1798,1831,26
414,go card,1798,1832,95
414,go card,1798,1836,24
414,go card,1798,1837,30
414,go card,1798,1868,70
414,go card,1798,1870,104
414,go card,1798,2004,45
414,go card,1798,4770,117
414,go card,1798,4771,87
414,go card,1807,10497,1
414,go card,1807,1728,1
414,go card,1807,1754,4
414,go card,1807,1761,1
414,go card,1807,2004,2
414,go card,1807,4771,2
414,go card,1829,1233,8
414,go card,1829,1753,1
414,go card,1829,1761,1
414,go card,1829,2004,1
414,go card,1831,1753,2
414,go card,1831,1870,1
414,go card,1831,2004,1
414,go card,1832,1753,4
